project UUID;name;count;state
[DAA0FAD2-D330-4708-93F9-095721623C1A];[US, New Jersey—Naturalization Records, 1796–1991 \[Part K\]|https://www.familysearch.org/indexing/admin-new/#/projects/DAA0FAD2-D330-4708-93F9-095721623C1A/overview];1;READY_FOR_DELIVERY
[EF085A6F-EF1E-472C-B1D2-ABED837FD740];[Argentina, Entre Ríos—Civil Registration, 1860–1965 \[Part F\]|https://www.familysearch.org/indexing/admin-new/#/projects/EF085A6F-EF1E-472C-B1D2-ABED837FD740/overview];1;ACTIVE
[0E0DFABF-6EAB-4EAA-BAA7-0C702CE16CF1];[Colombia, Arquidiócesis de Manizales—Registros Parroquiales, 1797–2013 \[Parte H\]|https://www.familysearch.org/indexing/admin-new/#/projects/0E0DFABF-6EAB-4EAA-BAA7-0C702CE16CF1/overview];1;READY_FOR_DELIVERY
[9A5DEE9E-1157-42AC-8B9A-54B2339D3C33];[US, Michigan—Archives of Michigan, Naturalization Records, 1812–1985 \[Part H\]|https://www.familysearch.org/indexing/admin-new/#/projects/9A5DEE9E-1157-42AC-8B9A-54B2339D3C33/overview];1;ACTIVE
[3DFC2C0B-86A5-4875-BF9B-0BE88658BE8B];[French Polynesia—Civil Registration, 1780–2002 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/3DFC2C0B-86A5-4875-BF9B-0BE88658BE8B/overview];49;ACTIVE
[3FDB544E-C6B3-4BCE-AA06-76CC2B779550];[US, Oregon—Death Records, 1864–1967|https://www.familysearch.org/indexing/admin-new/#/projects/3FDB544E-C6B3-4BCE-AA06-76CC2B779550/overview];1;ACTIVE
[4420C05A-1F86-4433-BBC1-FDDCB4B92C42];[Uruguay—Civil Registration, Index Cards 1900–1937 \[Part C\]|https://www.familysearch.org/indexing/admin-new/#/projects/4420C05A-1F86-4433-BBC1-FDDCB4B92C42/overview];9;ACTIVE
[580B0FA5-B8B1-4A32-AA70-FDA094A5A8A2];[US, Texas—Airplane Passenger and Crew Lists, 1931–1957|https://www.familysearch.org/indexing/admin-new/#/projects/580B0FA5-B8B1-4A32-AA70-FDA094A5A8A2/overview];3;ACTIVE
[5A57F548-D60C-4F03-9B12-8A15FF1A257B];[Italia (Antenati Italiani), Mantova—Stato Civile, 1820–1865 \[Parte R\]|https://www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview];1;ACTIVE
[74413892-9D82-4BE0-B022-1DEC18E29266];[French Polynesia (Quick Batch)—Civil Registration, 1780–2002 \[Part C\]|https://www.familysearch.org/indexing/admin-new/#/projects/74413892-9D82-4BE0-B022-1DEC18E29266/overview];1;ACTIVE
