project UUID;name;count;state
[85232517-5c21-441e-af1b-3dabae40c228];[Peru, Huanuco—Civil Registration, 1888–1998 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/85232517-5c21-441e-af1b-3dabae40c228/overview];1;ACTIVE
[2a372f33-5863-4acb-a606-83453e4ec9b2];[US, California—Geographical and Name Index Who Served in WWI, 1914–1918|https://www.familysearch.org/indexing/admin-new/#/projects/2a372f33-5863-4acb-a606-83453e4ec9b2/overview];1;ACTIVE
[ccf10f29-2c0b-40a5-9979-a264edb86e3e];[Australia, Victoria—Wills and Probates, 1865–1925 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/ccf10f29-2c0b-40a5-9979-a264edb86e3e/overview];1;ACTIVE
[6218b683-8e4f-43ff-92e8-fc56a927520f];[Украина, Запорожье—Ревизские сказки, 1811–1858 \[Часть А\]|https://www.familysearch.org/indexing/admin-new/#/projects/6218b683-8e4f-43ff-92e8-fc56a927520f/overview];1;ACTIVE
[7bca0ecb-0173-4535-a2c8-991969cb7b7b];[US, Ohio—County Births, 1849–1985 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/7bca0ecb-0173-4535-a2c8-991969cb7b7b/overview];1;ACTIVE
[1FD4D9EC-55B2-4738-B022-E75D4F40D6EE];[US—Obituaries, 1980–2014 \[Part 2AQ\]|https://www.familysearch.org/indexing/admin-new/#/projects/1FD4D9EC-55B2-4738-B022-E75D4F40D6EE/overview];1;READY_FOR_DELIVERY
[62d48ad8-d2ca-40d0-805b-24199fcb74ad];[US, Utah—The Church of Jesus Christ of Latter-day Saints, Church Census Records, 1914–1960 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/62d48ad8-d2ca-40d0-805b-24199fcb74ad/overview];1;ACTIVE
[3872bb16-5706-40ea-9e8f-9ecca160add0];[US—Aliens Pre-Examined in Canada and Mexico, 1906–1954|https://www.familysearch.org/indexing/admin-new/#/projects/3872bb16-5706-40ea-9e8f-9ecca160add0/overview];1;ACTIVE
[5df50593-d7ad-4853-9c81-b55a887b7491];[US, New York—Northern Alien Arrivals, 1929–1974|https://www.familysearch.org/indexing/admin-new/#/projects/5df50593-d7ad-4853-9c81-b55a887b7491/overview];1;ACTIVE
[16a80928-4a84-4e77-92e7-1f89f2cea101];[US, Puerto Rico—World War I Draft Registration Cards, 1917–1918 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/16a80928-4a84-4e77-92e7-1f89f2cea101/overview];1;ACTIVE
[b95444d8-ee40-421c-8b9d-20a8736930c4];[Italia (Antenati Italiani), Palermo—Morti, 1820–1865 \[Parte A\]|https://www.familysearch.org/indexing/admin-new/#/projects/b95444d8-ee40-421c-8b9d-20a8736930c4/overview];1;ACTIVE
[1fe76c5f-2413-46d0-8f83-f1b888581951];[US, New York—U.S. District Court Naturalization Records, Southern District, 1824–1946 \[Part I\]|https://www.familysearch.org/indexing/admin-new/#/projects/1fe76c5f-2413-46d0-8f83-f1b888581951/overview];1;ACTIVE
[915c9fe7-f285-4984-ac12-ad7f260931bb];[Peru, Diocesis de Huacho—Parish Records, 1560–1952 \[Part G\]|https://www.familysearch.org/indexing/admin-new/#/projects/915c9fe7-f285-4984-ac12-ad7f260931bb/overview];1;ACTIVE
[b553916f-a618-487e-8a61-ee89437cd1ef];[US, New York, Central Regions—Index to Land Records, Grantee's, 1630-1975 \[Part F\]|https://www.familysearch.org/indexing/admin-new/#/projects/b553916f-a618-487e-8a61-ee89437cd1ef/overview];1;ACTIVE
[cfcd4a38-155b-4419-84da-596bf5997883];[US, California—County Death Records, 1800–1994 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/cfcd4a38-155b-4419-84da-596bf5997883/overview];1;ACTIVE
[d36a0a6a-fcba-421b-99b4-aefa5150b054];[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part I\]|https://www.familysearch.org/indexing/admin-new/#/projects/d36a0a6a-fcba-421b-99b4-aefa5150b054/overview];1;ACTIVE
[8059a06f-2f57-459d-9351-1a2b27d083e6];[Österreich, Wien—Jüdisches Register von Geburten, Trauungen und Sterbefällen, 1784–1940 \[Teil B\]|https://www.familysearch.org/indexing/admin-new/#/projects/8059a06f-2f57-459d-9351-1a2b27d083e6/overview];1;ACTIVE
[9f898a41-b9c9-4a0c-b507-4e3a8d9334df];[US, New Hampshire—Naturalization Records, 1771–1955|https://www.familysearch.org/indexing/admin-new/#/projects/9f898a41-b9c9-4a0c-b507-4e3a8d9334df/overview];1;ACTIVE
[43a9392f-2cd4-428e-a280-1b06bd080aaf];[Italy (Antenati Italiani), Rome—Civil Registration, 1867–1929 \[Part E\]|https://www.familysearch.org/indexing/admin-new/#/projects/43a9392f-2cd4-428e-a280-1b06bd080aaf/overview];1;ACTIVE
[8384acd7-f805-4103-be5f-ef9ee361acf1];[US, Wisconsin—Out of Wedlock Births, 1948–1963|https://www.familysearch.org/indexing/admin-new/#/projects/8384acd7-f805-4103-be5f-ef9ee361acf1/overview];1;ACTIVE
[059bf999-055a-4214-be73-8f173d116839];[US, Missouri, St. Louis—Military Records, 1916–1939|https://www.familysearch.org/indexing/admin-new/#/projects/059bf999-055a-4214-be73-8f173d116839/overview];1;ACTIVE
