project UUID;name;count;state
[80162B76-3194-40F7-8D24-50C52D349199];[US, Alabama, Jefferson County—Circuit Court Files, 1870–1916 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/overview];1;READY_FOR_DELIVERY
[6DEE09E6-5AB6-44E9-871F-E369E0759F08];[UK—War Office Registers, Soldier Records, 1772–1935 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/overview];1;ACTIVE
[E9EE4EC7-17B8-49DD-9370-91912D6D02B9];[Brazil—Civil Registration of Birth, 1852–1914 \[Part 2E\]|https://www.familysearch.org/indexing/admin-new/#/projects/E9EE4EC7-17B8-49DD-9370-91912D6D02B9/overview];1;ACTIVE
[99256E71-5D43-4694-B676-A5CFD514B891];[Denmark—Military Conscription Rolls, 1789–1792 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/99256E71-5D43-4694-B676-A5CFD514B891/overview];1;ACTIVE
[EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F];[Italia (Antenati Italiani), L'Aquila—Morti, 1911–1943 \[Parte H\]|https://www.familysearch.org/indexing/admin-new/#/projects/EFFD8BD2-9B54-47ED-9B98-8BA56ECEC58F/overview];1;ACTIVE
[9F551B7B-D283-4E0C-8D1D-E3107EC837EC];[Venezuela, Archdiocese of Valencia—Catholic Church Records, 1924—2014 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/9F551B7B-D283-4E0C-8D1D-E3107EC837EC/overview];1;ACTIVE
[1F032571-9143-44A8-8A47-DAA3E18A0C66];[US, South Dakota, South Lead City Cemetery—Card Index of Deaths, 1912–1966|https://www.familysearch.org/indexing/admin-new/#/projects/1F032571-9143-44A8-8A47-DAA3E18A0C66/overview];1;READY_FOR_DELIVERY
[A1AD4820-7D50-491C-A2D8-30DDAA6D87CD];[Brazil, São Paulo—Civil Registration, 1907-1995 \[Part BF\]|https://www.familysearch.org/indexing/admin-new/#/projects/A1AD4820-7D50-491C-A2D8-30DDAA6D87CD/overview];1;ACTIVE
[3909604B-1BEF-4780-8D62-C99A0CCAFCA3];[US, South Carolina—World War I Draft Registration Cards, 1917–1918 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/3909604B-1BEF-4780-8D62-C99A0CCAFCA3/overview];1;READY_FOR_DELIVERY
[A923AE1D-7354-484C-BD23-44724F4E74D5];[US, Puerto Rico—Naturalization Records, 1901–1981 \[Part E\]|https://www.familysearch.org/indexing/admin-new/#/projects/A923AE1D-7354-484C-BD23-44724F4E74D5/overview];1;ACTIVE
[CB04B6A5-7972-4082-BD32-8F4A61D8C650];[Italy (Italian Ancestors), Pesaro e Urbino—Death, 1875–1943 \[Part 1U\]|https://www.familysearch.org/indexing/admin-new/#/projects/CB04B6A5-7972-4082-BD32-8F4A61D8C650/overview];1;ACTIVE
[CF458A42-BD18-4126-86CD-2B823439C390];[US, Hawaii—Island Census Records, 1878–1896|https://www.familysearch.org/indexing/admin-new/#/projects/CF458A42-BD18-4126-86CD-2B823439C390/overview];1;ACTIVE
[CF5200E9-AAC0-42A4-89EF-AC9962B2575F];[US, Nebraska—Naturalizations, 1855–1989|https://www.familysearch.org/indexing/admin-new/#/projects/CF5200E9-AAC0-42A4-89EF-AC9962B2575F/overview];1;READY_FOR_DELIVERY
[B8CDD08D-5D4F-4A4A-8A65-DBC16575A1A2];[Luxembourg—Registres d'état civil, 1796–1923 \[Partie G\]|https://www.familysearch.org/indexing/admin-new/#/projects/B8CDD08D-5D4F-4A4A-8A65-DBC16575A1A2/overview];1;ACTIVE
[89F96A10-39A7-4B95-8DCD-1A3A549B52D1];[US, Washington—Marriage Records, 1750–1990 \[Part M\]|https://www.familysearch.org/indexing/admin-new/#/projects/89F96A10-39A7-4B95-8DCD-1A3A549B52D1/overview];1;ACTIVE
[210534C3-9881-4AFC-95CC-DFDCF1A9A837];[Italia (Antenati Italiani), Trapani—Stato Civile, Matrimoni, 1875–1901 \[Parte E\]|https://www.familysearch.org/indexing/admin-new/#/projects/210534C3-9881-4AFC-95CC-DFDCF1A9A837/overview];1;READY_FOR_DELIVERY
[A05A206D-7A0D-4647-B29D-6B7438AA610A];[Deutschland, Westfalen, Minden—Zivilstandsregister und Kirchenbuchauszüge, 1774–1873 \[Teil B\]|https://www.familysearch.org/indexing/admin-new/#/projects/A05A206D-7A0D-4647-B29D-6B7438AA610A/overview];1;ACTIVE
[AED38986-61DE-462D-998D-5C7852F6EE73];[Norway, Oslo—Census, 1901|https://www.familysearch.org/indexing/admin-new/#/projects/AED38986-61DE-462D-998D-5C7852F6EE73/overview];1;ACTIVE
[95B10D7B-BD1F-4BC4-98DF-006A1288D792];[Uruguay—General Archive of the Nation, Passenger Lists, 1888–1930 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/95B10D7B-BD1F-4BC4-98DF-006A1288D792/overview];1;ACTIVE
