dgs;imageset;project
004144630;BA88EE17-78B0-4AD6-BF02-EDDA9F21FD95;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004144656;F08B8731-115F-47E8-9F5D-22245E3504FF;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004144679;2A5BEFC3-04E6-4040-A09B-BA680101EF14;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004145337;E2658BA5-ABF6-42A2-9627-7B9975F16CA4;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004145450;7C0F9EF7-3224-4A71-9E83-15C6D3446539;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004145470;495812A3-1A75-4458-B692-AF4B2C66653B;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004145512;CA95E968-DC1B-474A-957A-9F19DBCE699B;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004145540;A3DDB5BE-86A3-461C-8E2C-0B8F5E6B88C7;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004146738;1EC8E1C0-47D1-4CC7-9C3A-ACA56FAF7435;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004146777;566290DD-78E8-44FF-AAE6-6785A83FE450;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004146818;8BABE41D-1DBE-42B7-9DBB-CD1886F9462E;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004146851;A5B4D5A2-86B8-4D6C-98F6-D9CE2A336F08;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004146971;187463F6-691B-48F8-963C-A81435AC4443;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004149377;AFA21058-D524-4E34-AC9D-CC641EA4DB53;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004149436;42840019-97A9-4AE1-B4F5-A6ED2A536197;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004149496;43FDDB3C-A2BD-4614-9F36-D339811C5526;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004149580;3FA34364-3F67-45B2-BCA8-6345E271A3DD;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004149594;DC3CF8AF-5E29-43AC-97C6-EAAAB6852B83;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004149705;0C639DA5-900E-462A-871F-5585AE40EACB;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004149709;3EF812C6-D581-4166-8EA6-3A6023129436;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
